,price
592,40.99147
593,47.25487
594,49.60491
595,45.97741
596,43.23765
597,41.10266
598,38.31269
599,35.69418
600,34.43888
601,32.14504
602,32.08253
603,32.14118
604,32.71957
605,41.91496
606,52.71304
607,53.05818
608,35.36946
609,15.18918
610,13.33803
611,15.8276
612,13.18452
613,16.73956
614,19.07095
615,27.89005
616,42.29583
617,53.04084
618,53.59061
619,49.33141
620,44.44444
621,41.01129
622,38.45697
623,33.79949
624,31.54873
625,31.39756
626,31.06042
627,31.20124
628,33.95237
629,39.99235
630,50.87757
631,53.51215
632,46.19487
633,39.92205
634,34.52069
635,31.88178
636,31.26137
637,29.57364
638,30.6303
639,37.45761
640,48.84312
641,54.62262
642,56.23414
643,51.39208
644,49.04237
645,45.07052
646,38.2738
647,36.3348
648,32.33737
649,31.44064
650,31.05797
651,31.04877
652,33.32828
653,38.15214
654,45.96703
655,55.41772
656,39.84015
657,34.18405
658,31.8585
659,31.1425
660,30.17982
661,30.66561
662,30.98749
663,35.2849
664,45.91351
665,53.01602
666,57.35599
667,52.12427
668,46.772
669,42.22993
670,36.57126
671,36.24593
672,32.14845
673,31.59003
674,30.69284
675,30.36116
676,31.35262
677,34.2003
678,43.48394
679,49.26563
680,40.46064
681,34.47275
682,30.99873
683,28.24848
684,26.48829
685,24.04655
686,23.61735
687,27.99595
688,36.7424
689,45.35862
690,48.26467
691,43.17877
692,41.27497
693,38.73657
694,35.17206
695,30.98547
696,33.65497
697,34.00044
698,33.25592
699,32.36823
700,33.07398
701,36.17816
702,41.13449
703,39.07642
704,30.62455
705,23.17458
706,18.55349
707,12.92277
708,8.47109
709,6.52018
710,11.03835
711,24.23957
712,36.43086
713,49.04903
714,50.40819
715,45.45
716,42.45813
717,40.2266
718,35.81784
719,33.46572
720,33.72983
721,33.08457
722,34.19158
723,34.69083
724,34.26072
725,36.07175
726,41.30932
727,37.33869
728,26.57624
729,21.58234
730,19.52561
731,20.54899
732,18.16631
733,17.82732
734,24.15246
735,31.01346
736,40.59693
737,49.06263
738,52.50813
739,46.78825
740,42.30617
741,38.48744
742,34.73917
743,33.4376
744,33.67571
745,32.16244
746,31.73637
747,32.0648
748,32.94688
749,37.44036
750,46.18428
751,48.28294
752,41.06888
753,34.70679
754,31.67416
755,29.10439
756,27.42387
757,26.89791
758,27.3588
759,31.66132
760,41.52801
761,54.2945
762,55.75296
763,49.17478
764,46.70355
765,41.37349
766,36.13161
767,34.53604
768,32.38972
769,32.36822
770,31.48582
771,30.89066
772,32.31172
773,34.90577
774,47.01558
775,44.1794
776,34.4473
777,28.78539
778,26.31991
779,25.24049
780,23.26501
781,22.73855
782,23.13342
783,28.88471
784,39.81977
785,47.60786
786,50.77709
787,44.43524
788,42.40312
789,37.26104
790,35.68689
791,32.48861
792,31.33648
793,31.66533
794,29.22357
795,30.03487
796,31.4512
797,35.72913
798,48.52005
799,43.07868
800,30.76126
801,13.72684
802,20.84372
803,14.39286
804,10.80151
805,12.14653
806,15.51303
807,21.72376
808,35.21261
809,48.06794
810,52.82132
811,44.3321
812,44.92664
813,41.71868
814,37.61768
815,32.41133
816,30.28971
817,32.19087
818,31.73788
819,31.17085
820,33.04929
821,37.08674
822,48.16302
823,44.7007
824,32.24537
825,25.86362
826,18.98448
827,21.28316
828,17.31785
829,17.33143
830,26.91199
831,24.38125
832,36.27803
833,50.40229
834,55.79288
835,46.94692
836,44.15759
837,41.4974
838,37.28603
839,34.37266
840,33.52083
841,32.37466
842,31.82806
843,32.14666
844,33.16938
845,38.02527
846,47.97789
847,41.31228
848,31.45007
849,19.24167
850,13.67251
851,12.27558
852,9.51051
853,6.93608
854,10.04789
855,19.97688
856,33.13223
857,45.424
858,45.14917
859,41.48617
860,40.24855
861,39.16078
862,37.0515
863,35.4932
864,34.85274
865,34.96797
866,35.26239
867,33.81105
868,35.80418
869,41.13932
870,48.22418
871,38.2044
872,24.25984
873,7.99823
874,4.26845
875,3.11701
876,2.85524
877,1.17966
878,3.24057
879,19.95929
880,35.57473
881,50.36366
882,50.73351
883,46.35766
884,44.8156
885,41.4533
886,36.70723
887,34.99991
888,34.92126
889,33.80566
890,35.47389
891,34.3278
892,34.8342
893,40.27365
894,46.1641
895,35.69575
896,22.67036
897,7.99969
898,4.53936
899,1.61328
900,0.57554
901,-0.25377
902,1.12223
903,13.50239
904,33.53745
905,46.09916
906,48.22384
907,45.11855
908,44.2977
909,41.70387
910,37.85835
911,37.23039
912,34.86775
913,33.67689
914,33.06282
915,32.79853
916,33.98639
917,42.24984
918,51.5964
919,49.74352
920,41.11297
921,38.72662
922,26.43315
923,28.61424
924,26.52158
925,23.59813
926,32.10402
927,35.31472
928,43.0764
929,55.20231
930,56.87714
931,51.68277
932,46.31346
933,43.08108
934,40.86929
935,36.65645
936,35.85378
937,34.11036
938,33.66186
939,33.34916
940,35.62967
941,41.17379
942,53.10329
943,53.55042
944,43.43116
945,37.79678
946,32.03977
947,30.46189
948,28.6874
949,27.14428
950,29.41275
951,36.75781
952,45.09315
953,53.90539
954,57.1641
955,49.69337
956,49.21956
957,45.74524
958,40.24192
959,36.52358
960,36.45048
961,34.65886
962,33.65729
963,33.89887
964,35.18873
965,44.1881
966,54.22925
967,52.17858
968,41.18002
969,34.56
970,28.21833
971,22.78554
972,19.33033
973,17.25258
974,20.40737
975,28.28261
976,41.33602
977,50.16026
978,52.69
979,47.88
980,47.07874
981,46.40652
982,42.74766
983,37.93398
984,43.19927
985,42.11317
986,42.43609
987,42.60693
988,44.50464
989,52.43767
990,65.63212
991,54.83819
992,47.30048
993,39.19248
994,34.12196
995,30.99936
996,24.95988
997,35.12463
998,36.2612
999,49.11504
1000,50.57516
1001,63.34933
1002,63.28076
1003,55.59516
1004,49.0188
1005,47.62753
1006,45.30012
1007,43.69217
1008,60.12386
1009,60.4146
1010,58.90713
1011,61.00019
1012,65.84481
1013,82.44814
1014,107.23136
1015,94.49751
1016,70.97418
1017,55.50687
1018,51.37823
1019,45.90179
1020,29.69329
1021,29.7096
1022,33.66927
1023,59.06088
1024,82.12991
1025,109.6601
1026,115.616
1027,103.32025
1028,90.92498
1029,83.19588
1030,82.17056
1031,90.53789
1032,98.52214
1033,91.58614
1034,84.17098
1035,84.15534
1036,87.56347
1037,90.99305
1038,100.33648
1039,86.20105
1040,53.227
1041,48.69052
1042,47.81058
1043,38.33578
1044,31.21524
1045,28.85598
1046,38.0108
1047,51.63182
1048,83.67516
1049,138.19383
1050,242.3802
1051,152.73624
1052,142.37572
1053,142.1414
1054,116.20554
1055,97.16722
1056,79.74395
1057,77.56288
1058,68.62298
1059,68.60568
1060,70.01507
1061,82.90104
1062,89.40505
1063,75.86897
1064,50.44759
1065,41.58815
1066,16.88239
1067,8.61696
1068,4.43626
1069,0.0999
1070,15.02
1071,45.31934
1072,77.23945
1073,142.84854
1074,270.32324
1075,188.09898
1076,140.93407
1077,141.20348
1078,117.82837
1079,95.13133
1080,79.62984
1081,72.18179
1082,68.27216
1083,68.64568
1084,78.10754
1085,102.31093
1086,142.33627
1087,126.25004
1088,74.5613
1089,65.15068
1090,57.75103
1091,52.00197
1092,50.98562
1093,49.91765
1094,52.9873
1095,69.24709
1096,130.13252
1097,335.7676
1098,461.3398
1099,397.6274
1100,249.77074
1101,154.5446
1102,104.50387
1103,87.51403
1104,105.86981
1105,95.42471
1106,91.13368
1107,94.89559
1108,103.41652
1109,117.56192
1110,161.4152
1111,159.20813
1112,100.46138
1113,76.32053
1114,57.2052
1115,47.81887
1116,46.72878
1117,43.5233
1118,47.1746
1119,57.83536
1120,114.51906
1121,458.35193
1122,692.953
1123,627.1476
1124,408.12677
1125,202.52374
1126,128.92807
1127,126.0197
1128,146.88748
1129,123.1978
1130,122.33114
1131,123.60168
1132,130.37895
1133,167.88898
1134,231.87604
1135,347.47784
1136,127.99651
1137,86.40973
1138,71.61072
1139,72.47462
1140,64.88429
1141,68.24354
1142,63.51534
1143,87.76994
1144,169.06287
1145,891.76337
1146,954.0987
1147,935.6939
1148,899.7374
1149,785.9761
1150,184.86852
1151,140.1952
1152,139.94753
1153,96.87886
1154,117.8773
1155,118.08988
1156,139.0416
1157,142.62756
1158,256.17694
1159,169.99535
1160,99.51836
1161,63.07074
1162,57.50788
1163,50.06945
1164,50.88609
1165,51.41623
1166,49.41885
