,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
33,0.0,0.0,4.0,0.0,1.0,0.0,887.91942,3.9,887.9194169640418
34,0.0,0.0,4.0,0.0,1.0,0.0,887.91942,3.9,887.9194169640418
35,7.1360415e-10,0.0,4.0,0.0,1.0,-1.2129415e-08,887.91942,3.9,887.9194169519125
36,10.0,0.0,14.0,1.0,0.0,-140.25103,747.66839,4.4,747.6683869519125
37,6.0,0.0,20.0,1.0,0.0,-90.030423,657.63797,4.7,657.6379639519124
38,0.0,0.0,20.0,0.0,1.0,0.0,657.63797,4.7,657.6379639519124
39,0.0,0.0,20.0,0.0,1.0,0.0,657.63797,4.7,657.6379639519124
40,6.2992527e-10,0.0,20.0,0.0,1.0,-2.9041445e-08,657.63797,4.7,657.637963922871
41,0.0,10.0,10.0,0.0,1.0,517.04448,1174.6824,5.2,1174.682443922871
42,0.0,6.0,4.0,0.0,1.0,279.20392,1453.8864,5.5,1453.886363922871
43,0.0,0.0,4.0,0.0,1.0,0.0,1453.8864,5.5,1453.886363922871
44,0.0,0.0,4.0,0.0,1.0,0.0,1453.8864,5.5,1453.886363922871
45,-6.3032752e-10,0.0,4.0,0.0,1.0,2.8911962e-08,1453.8864,5.5,1453.8863639517829
46,-6.3634335e-10,0.0,4.0,0.0,1.0,2.7052093e-08,1453.8864,5.5,1453.8863639788349
47,0.0,0.0,4.0,0.0,1.0,0.0,1453.8864,5.5,1453.8863639788349
48,0.0,0.0,4.0,0.0,1.0,0.0,1453.8864,5.5,1453.8863639788349
49,0.0,0.0,4.0,0.0,1.0,0.0,1453.8864,5.5,1453.8863639788349
50,0.0,0.0,4.0,0.0,1.0,0.0,1453.8864,5.5,1453.8863639788349
51,10.0,0.0,14.0,1.0,0.0,-345.69534,1108.191,6.0,1108.191023978835
52,0.0,0.0,14.0,0.0,1.0,0.0,1108.191,6.0,1108.191023978835
53,0.0,0.0,14.0,0.0,1.0,0.0,1108.191,6.0,1108.191023978835
54,0.0,10.0,4.0,0.0,1.0,358.02219,1466.2132,6.5,1466.213213978835
55,0.0,0.0,4.0,0.0,1.0,0.0,1466.2132,6.5,1466.213213978835
56,0.0,0.0,4.0,0.0,1.0,0.0,1466.2132,6.5,1466.213213978835
57,0.0,0.0,4.0,0.0,1.0,0.0,1466.2132,6.5,1466.213213978835
58,-7.0498961e-10,0.0,4.0,0.0,1.0,1.3205731e-08,1466.2132,6.5,1466.2132139920407
59,7.1225031e-10,0.0,4.0,0.0,1.0,-1.2291727e-08,1466.2132,6.5,1466.2132139797488
60,6.0,0.0,10.0,1.0,0.0,-101.74082,1364.4724,6.8,1364.4723939797489
61,10.0,0.0,20.0,1.0,0.0,-161.45536,1203.017,7.3,1203.017033979749
62,0.0,0.0,20.0,0.0,1.0,0.0,1203.017,7.3,1203.017033979749
63,0.0,0.0,20.0,0.0,1.0,0.0,1203.017,7.3,1203.017033979749
64,0.0,0.0,20.0,0.0,1.0,0.0,1203.017,7.3,1203.017033979749
65,0.0,10.0,10.0,0.0,1.0,575.07432,1778.0914,7.8,1778.0913539797489
66,0.0,6.0,4.0,0.0,1.0,303.5457,2081.6371,8.1,2081.637053979749
67,0.0,0.0,4.0,0.0,1.0,0.0,2081.6371,8.1,2081.637053979749
68,0.0,0.0,4.0,0.0,1.0,0.0,2081.6371,8.1,2081.637053979749
69,0.0,0.0,4.0,0.0,1.0,0.0,2081.6371,8.1,2081.637053979749
70,-6.3664696e-10,0.0,4.0,0.0,1.0,2.6961916e-08,2081.6371,8.1,2081.637054006711
71,6.4403332e-10,0.0,4.0,0.0,1.0,-2.4870418e-08,2081.6371,8.1,2081.6370539818404
72,0.0,0.0,4.0,0.0,1.0,0.0,2081.6371,8.1,2081.6370539818404
73,6.5382512e-10,0.0,4.0,0.0,1.0,-2.237743e-08,2081.6371,8.1,2081.637053959463
74,10.0,0.0,14.0,1.0,0.0,-336.74626,1744.8908,8.6,1744.8907939594633
75,6.0,0.0,20.0,1.0,0.0,-203.03681,1541.854,8.9,1541.8539839594632
76,-6.5095141e-10,0.0,20.0,0.0,1.0,2.3078174e-08,1541.854,8.9,1541.8539839825414
77,6.3708569e-10,0.0,20.0,0.0,1.0,-2.6832213e-08,1541.854,8.9,1541.8539839557093
78,0.0,6.0,14.0,0.0,1.0,277.47839,1819.3324,9.2,1819.3323739557093
